50.87.144.66 - - [24/Nov/2022:16:00:19 -0800] "GET /wp-22.php?sfilename=on.php&sfilecontent=<%3F%3D409723%2A20%3B&supfiles=on.php HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "regusciair.com"
85.191.44.159 - - [24/Nov/2022:16:31:39 -0800] "GET / HTTP/1.1" 200 134620 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56" "regusciair.com"
208.102.116.171 - - [24/Nov/2022:17:16:00 -0800] "GET /adminer.php HTTP/1.1" 404 88 "-" "Screaming Frog SEO Spider/17.2" "regusciair.com"
194.36.99.84 - - [24/Nov/2022:17:39:47 -0800] "GET /contact_us HTTP/1.1" 200 9651 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0" "regusciair.com"
194.36.99.84 - - [24/Nov/2022:17:39:48 -0800] "GET /contact_us?emailAddress=regusciair%40hotmail.com&.crumb=1669378344E25qKQf0YJP2Qk81Te4x9BmbVIY-&json_payload=&formDataName=Customer+contact&formDescription=Contact+Us&formGuid=itemRecordGuid.4d5b3869694ef0.72951&itemGuid.4d5b3869694e26.20626730=Eric&itemGuid.4d5b3869694e26.20626733=Jones&itemGuid.4d5b3869694e26.20626736=ericjonesmyemail%40gmail.com&itemGuid.4d5b3869694e26.20626739=555-555-1212&itemGuid.4d5b39fc5e8d22.12102876=New+York&itemGuid.4d5b39fc5e8d22.12102880=United+States&itemGuid.4d5b3869694e26.20626742=Hey%2C+my+name%E2%80%99s+Eric+and+for+just+a+second%2C+imagine+this%E2%80%A6%0D%0A%0D%0A-+Someone+does+a+search+and+winds+up+at+regusciair.com.%0D%0A%0D%0A-+They+hang+out+for+a+minute+to+check+it+out.++%E2%80%9CI%E2%80%99m+interested%E2%80%A6+but%E2%80%A6+maybe%E2%80%A6%E2%80%9D%0D%0A%0D%0A-+And+then+they+hit+the+back+button+and+check+out+the+other+search+results+instead.+%0D%0A%0D%0A-+Bottom+line+%E2%80%93+you+got+an+eyeball%2C+but+nothing+else+to+show+for+it.%0D%0A%0D%0A-+There+they+go.%0D%0A%0D%0AThis+isn%E2%80%99t+really+your+fault+%E2%80%93+it+happens+a+LOT+%E2%80%93+studies+show+7+out+of+10+visitors+to+any+site+disappear+without+leaving+a+trace.%0D%0A%0D%0ABut+you+CAN+fix+that.%0D%0A%0D%0ATalk+With+Web+Visitor+is+a+software+widget+that%E2%80%99s+works+on+your+site%2C+ready+to+capture+any+visitor%E2%80%99s+Name%2C+Email+address+and+Phone+Number.++It+lets+you+know+right+then+and+there+%E2%80%93+enabling+you+to+call+that+lead+while+they%E2%80%99re+literally+looking+over+your+site.%0D%0A%0D%0ACLICK+HERE+http://boostleadgeneration.com+to+try+out+a+Live+Demo+with+Talk+With+Web+Visitor+now+to+see+exactly+how+it+works.%0D%0A%0D%0ATime+is+money+when+it+comes+to+connecting+with+leads+%E2%80%93+the+difference+between+contacting+someone+within+5+minutes+versus+30+minutes+later+can+be+huge+%E2%80%93+like+100+times+better%21%0D%0A%0D%0APlus%2C+now+that+you+have+their+phone+number%2C+with+our+new+SMS+Text+With+Lead+feature+you+can+automatically+start+a+text+(SMS)+conversation%E2%80%A6+so+even+if+you+don%E2%80%99t+close+a+deal+then%2C+you+can+follow+up+with+text+messages+for+new+offers%2C+content+links%2C+even+just+%E2%80%9Chow+you+doing%3F%E2%80%9D+notes+to+build+a+relationship.%0D%0A%0D%0AStrong+stuff.%0D%0A%0D%0ACLICK+HERE+http://boostleadgeneration.com+to+discover+what+Talk+With+Web+Visitor+can+do+for+your+business.%0D%0A%0D%0AYou+could+be+converting+up+to+100X+more+leads+today%21%0D%0A%0D%0AEric%0D%0APS:+Talk+With+Web+Visitor+offers+a+FREE+14+days+trial+%E2%80%93+and+it+even+includes+International+Long+Distance+Calling.+%0D%0AYou+have+customers+waiting+to+talk+with+you+right+now%E2%80%A6+don%E2%80%99t+keep+them+waiting.+%0D%0ACLICK+HERE+http://boostleadgeneration.com+to+try+Talk+With+Web+Visitor+now.%0D%0A%0D%0AIf+you%27d+like+to+unsubscribe+click+here+http://boostleadgeneration.com/unsubscribe.aspx%3Fd%3Dregusciair.com%0D%0A HTTP/1.1" 200 9651 "https://regusciair.com/contact_us" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:102.0) Gecko/20100101 Fire
83.11.82.83 - - [24/Nov/2022:18:17:56 -0800] "GET /contact_us/ HTTP/1.1" 200 9651 "http://regusciair.com/contact_us/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "regusciair.com"
83.11.82.83 - - [24/Nov/2022:18:17:57 -0800] "GET /preguntas_frecuentes HTTP/1.1" 200 8058 "https://regusciair.com/contact_us/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "regusciair.com"
17.121.114.167 - - [24/Nov/2022:18:30:30 -0800] "GET /favicon.ico HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "regusciair.com"
3.85.224.146 - - [24/Nov/2022:18:47:56 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "CCBot/2.0 (https://commoncrawl.org/faq/)" "www.regusciair.com"
3.85.224.146 - - [24/Nov/2022:18:47:56 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "CCBot/2.0 (https://commoncrawl.org/faq/)" "www.regusciair.com"
3.85.224.146 - - [24/Nov/2022:18:47:56 -0800] "GET / HTTP/1.1" 200 26600 "-" "CCBot/2.0 (https://commoncrawl.org/faq/)" "www.regusciair.com"
